"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"R-344",44299,28470,25404,27423,20589,11068,0.750152373642746
"R-345",30437,21095,19387,20420,17044,12311,0.595525183165227
"R-346",51045,33249,28215,31429,20276,13013,0.745068077186796
"R-347",29044,20502,18415,19769,15254,10461,0.639822338520865
"R-348",86122,60198,56091,59022,48231,21955,0.74507094586749
"R-349",31298,13828,11297,12783,8446,5208,0.833599591028181
"R-350",57552,40663,37631,39850,31652,15466,0.731269113149847
"R-351",38966,26953,25202,26145,21790,12650,0.675358004414105
"R-352",31414,21866,19055,20807,15574,10197,0.675399503406125
"R-353",12279,8523,7895,8123,6872,4311,0.648912777913511
"R-354",17407,11827,10934,11463,9583,6940,0.601309817889355
"R-355",39811,25948,23829,24818,20500,12159,0.694581899475019
"R-356",52028,36169,32516,35227,25255,13076,0.748673791035596
"R-357",18744,12719,11382,12114,9819,7736,0.587281263337601
"R-358",15039,8654,7567,8123,6105,5038,0.665004322095884
"R-359",23690,13719,12528,13172,10510,6851,0.710806247361756
"R-360",48867,32891,29354,31584,23931,15274,0.68743732989543
"R-361",44342,30024,27110,28832,23183,13273,0.70066753867665
"R-362",4898,1353,866,1105,527,486,0.900775826868109
"R-363",26266,17918,16323,17090,13683,9278,0.646767684458996
"R-364",68974,46561,42014,44823,33697,21132,0.693623684286833
