"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"F-R-212",70148,44500,44463,44445,0.366411016707533
"F-R-213",19303,5389,5381,5381,0.721235041185308
"F-R-214",72173,54432,54402,54400,0.246255524919291
"F-R-215",18228,13421,13400,13400,0.264867237217468
"F-R-216",47703,38524,38478,38478,0.193384063895352
"F-R-217",29609,26573,26546,26546,0.103448275862069
"F-R-218",6828,406,379,379,0.944493263034564
"F-R-219",35223,6364,6345,6345,0.819862021974278
"F-R-220",25556,21242,21215,21215,0.169862263264987
"F-R-221",26824,6918,6891,6778,0.747315836564271
"F-R-222",32414,27832,27806,27761,0.143549083729253
"F-R-223",72773,63867,63847,63847,0.122655380429555
"F-R-224",22321,19707,19675,19612,0.12136553021818
"F-R-281",41575,26715,26688,26688,0.358075766686711
"F-R-282",5006,3906,3890,3890,0.222932481022773
"F-R-283",42055,28519,28479,28455,0.323386042087742
"F-R-284",24227,6560,6541,6537,0.730177075164073
"F-R-285",14264,10699,10684,10684,0.250981491867639
"F-R-286",22192,21046,21020,21015,0.0530371304974766
"F-R-287",18561,7284,7282,7282,0.607672000431011
"F-R-288",26368,11710,11692,11690,0.556659587378641
"F-R-289",96780,94074,94053,93826,0.0305228352965489
"F-R-290",34371,27895,27865,27865,0.18928748072503
"F-R-291",43067,22671,22618,22618,0.474818306359858
"F-R-292",56612,48690,48670,48670,0.140288278103582
"F-R-293",58913,53310,53271,52827,0.103304873287729
"F-R-294",28781,12859,12826,12826,0.554358778360724
"F-R-295",34264,21642,21602,21602,0.369542376838664
"F-R-296",24904,22910,22875,22875,0.081472855766142
"F-R-297",19623,10011,9972,9972,0.491820822504204
"F-R-298",14406,12414,12380,12380,0.140635846175205
"F-R-299",29918,27010,26997,26997,0.0976335316531854
"F-R-300",19376,8317,8300,8300,0.571635012386457
"F-R-301",21899,18417,18396,18371,0.161103246723595
"F-R-302",12026,9590,9566,9566,0.204556793613837
"F-R-303",18490,15934,15900,15895,0.140346133044889
"F-R-304",15686,8436,8419,8419,0.463279357388754
"F-R-305",66758,59306,59279,59111,0.114548069145271
"F-R-306",27629,22293,22283,22283,0.193492344999819
"F-R-307",9334,3427,3408,3408,0.634883222626955
"F-R-308",62263,16134,16112,15752,0.747008656826687
"F-R-337",43866,39941,39925,39754,0.0937400264441709
"F-R-338",62196,47094,47062,47022,0.2439706733552
"F-R-339",40311,31504,31464,31464,0.219468631390935
"F-R-340",32818,28861,28837,28833,0.121427265525017
"F-R-341",28612,7494,7479,7479,0.7386061792255
"F-R-342",13963,11355,11334,11320,0.18928597006374
"F-R-343",39860,28167,28137,28137,0.294104365278475
"F-R-344",54203,48334,48261,48197,0.11080567496264
"F-R-345",12802,1777,1764,1764,0.862209029839088
"F-R-346",26630,10445,10410,10410,0.609087495306046
"F-R-347",25785,16675,16647,16647,0.354392088423502
"F-R-348",40552,31108,31072,31072,0.233773919905307
"F-R-349",32600,22192,22148,22148,0.320613496932515
"F-R-350",10290,2487,2462,2462,0.760738581146744
"F-R-351",22480,7146,7131,7131,0.682784697508897
"F-R-352",7701,6421,6375,6369,0.172964550058434
"F-R-353",12682,10159,10146,10146,0.199968459233559
